Problem	Scoring	Rubric	briscob1	davidsjr	fowlera1	gishbd	hant1	harreln	hornecg	hoy	jacobsse	kellerns	lih2	lix10	max	mutchlam	mutchldk	niz1	omoteso	plutajm	rockentj	rostrodj	taylorz1	wangh6	wilkinjf	xiy	xut1	yaoq	zhongs		
	0	"See me re:  Uses uninformative variable names (that is, names that fail to suggest their purpose).  (Note: loop variables that are single letters are fine.)"																													
	0	See me re:  Uses variable names that begin with an upper-case letter																													
	0	See me re: extra blank lines																													
	0	See me re: ELSE that does nothing													0						0								0		
	0	See me re use of ELIF in a two-case scenario																			0										
	0	See me for discussion of your unnattural IF… structure																					0								
	0	See me re:  any warning message																													
	0	See me re:  unwise to treat True as 1 and False as 0																													
	0	See me re:  why you should NOT test whether m <= n (or whether m and n are positive) and you MUST NOT print anything									0																				
	0	"Nice internal testing.  See me re leaving behind testing code (it is fine with me, but some would complain if in production code)."																													
	0	See me re:  Your total = … does NOT belong inside the loop.  Do you see why you passed the tests anyway?																													
	1	Particularly nice choice of variable names for the two sums															1														
	0	See me re:																													
		Points earned (of 10) on problem1c	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	10	10	10	10	10	10	10	10	10	9	10	10		
																															
problem2																															
Points available:	20	Not yet graded																													
	-20	Way off																													
	-15	"Fails to use the parameters (instead, uses a particular circle and rectangle)"																													
	-4	Given rectangle does not appear																													
	-4	Given circle does not appear																													
	-4	Given circle appears but its fill color is wrong (should be the rectangle's outline color)																									-4				
																															
		"The line from center to center is wrong, in any of the following ways (max of -8 for errors on this line)"																													
	-8	Way off																													
	-2	Uses a tuple where an rg.Line or rg.Point is required																													
	-5	Wrong locations for one or both endpoints (should be from center or circle to center of rectangle)																													
	-1	Wrong color (should be red)																									-1				
	-1	Wrong thickness (should be 10)																													
	-1	Fails to attach it																													
	-1	Wrongly includes an arrow (or any such extra feature)				-1																									
		Sum of errors (if any) on the line from center to center	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0		
																															
		"The vertical line is wrong, in any of the following ways (max of -8 for errors on this line)"																													
	-8	Way off																													
	-2	Uses a tuple where an rg.Line or rg.Point is required																													
	-5	Wrong locations for one or both endpoints (should be vertical and divides the rectangle in half)																													
	-2	Wrong thickness (should be same as rectangle's outline thickness)																													
	-1	"Wrongly includes an arrow (or any such extra feature, e.g. red color)"				-1																									
	-1	Fails to attach it																													
		Sum of errors (if any) on the vertical line	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
																															
	-1	"Constructs the line from center to center, but fails to attach it"																													
	-1	"Constructs the vertical line, but fails to attach it"																													
	-4	Fails to render the window (or renders at a wrong point)																													
	-4	Draws extra items																													
	-4	Uses a loop needlessly																													
	-1	Returns a value (other than None)																													
	0	Has continue_on_mouse_clicks (where none were specified)				0																									
	0	See me re:  any warning message																													
	0	See me re:  Uses variable names that begin with an upper-case letter (bad) or use camelCase (violates style)																													
	0	See me re:  Break long lines at commas																													
	0	See me re:  Judicious use of white space can help clarify code		0	0																		0				0				
	0	See me re:  using line and lion as variable names is asking for trouble!																													
	0	See me re whether circle.center.x is clearer than making various local variables.																			0										
	0	See me re:																													
		Points earned (of 20) on problem2	20	20	20	18	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	15	20	20		
																															
problem3																															
Points available:	15	Not yet graded																													
	-15	Way off																													
	-10	"Fails to use the parameters (instead, uses a particular x, y, n or color)"																													
	-1	Top point is at the wrong place or does not appear				-1																									
	-1	Bottom point is at the wrong place or does not appear				-1																									
																															
		"The lines are wrong, in any of the following ways (max of -13 for errors on the lines)"																													
	-13	Way off																													
	-2	Number of lines is off by 1 or 2	-2																												
	-8	"Number of lines is wrong (that is, it is off by more than 2)"																													
	-8	One or more left endpoints are wrong																													
	-3	"Right endpoints are vertical and very close to correct (but not quite correct, e.g. an off-by-one error)"			-3	-3											-3		-3		-3				-3		-3				
	-6	"Right endpoints are vertical but not very close to correct (i.e., "																													
	-9	Right endpoints are otherwise wrong																													
	-4	Thicknesses are wrong [but only -1 for an off-by-one error]	-1		-1												-4										-1				
	-2	Colors are wrong																													
		Sum of errors (if any) on the lines	-3	0	-4	-3	0	0	0	0	0	0	0	0	0	0	-7	0	-3	0	-3	0	0	0	-3	0	-4	0	0		
																															
	-3	Fails to render the window (or renders at a wrong point)																													
	-3	Draws extra items (other than extra lines)																													
	-3	Fails to attach things (but otherwise correct)																													
	-1	Returns a value (other than None)																													
	0	See me re:  Draws the same line more than once											0																		
	0	See me re:  Attaches the points INSIDE the loop (which is inefficient)												0																	
	0	See me re:  any warning message																													
	0	See me re:  Uses variable names that begin with an upper-case letter (bad) or use camelCase (violates style)																													
	0	See me re:  How best to handle time issues on future tests.																													
	0	See me re:  Thanks for the comment on problem 3.  It saved you 3 points (would have been -6 without the comment).																													
	0	See me re:  When to render INSIDE the loop and when AFTER the loop.																													
	0	See me re:  Using underscore as a variable INSIDE the loop																													
	0	"See me re:  overuse of internal comments, and why that is bad"																													
	0	See me re:  NEVER reassign a parameter to a new value.  It bit you here!																							0						
	0	"See me re:  Avoid expressions like 1 * k  that can be written more simply (here, just k)."																									0				
	0	See me re:																													
		Points earned (of 15) on problem3	12	15	11	10	15	15	15	15	15	15	15	15	15	15	8	15	12	15	12	15	15	15	12	15	11	15	15		
																															
		Total (of 75) on the on-the-computer part of the test	71	75	71	57	75	73	73	75	63	75	65	66	73	76	67	76	73	65	71	76	73	76	62	76	61	76	73		
		Total (of 25) on the paper-and-pencil part of the test	21.5	22.5	24	24.5	25	25	25	23.5	23	25	24	25	24	25	19	25	20	25	24	19	23	25	17	25	13	25	24		
		Total (of 100) on the test	92.5	97.5	95	81.5	100	98	98	98.5	86	100	89	91	97	101	86	101	93	90	95	95	96	101	79	101	74	101	97		
																															
		Time for paper and pencil part																													
		Time for entire exam (of 120 + 30 grace = 150)																													
																															
		"For the on-the-computer part:  Mean, Standard Deviation, Median, Max, Min"	71	6	73	76	57																								
		"For the paper-and-pencil part:  Mean, Standard Deviation, Median, Max, Min"	23	3	24	25	13																								
		"For the total:  Mean, Standard Deviation, Median, Max, Min"	94	7	96	101	74																								
